id	C1	C2
ZNF619	66.8277346492	69.0436955765
RAP2A	62.5365655944	61.8260763213
SIAH1	67.0709939003	68.2078866959
SIAH2	53.1977227256	49.9489832968
PRDM1	27.9915532768	13.381238319
NSA2	71.9928990453	70.7519031614
MAMDC2	90.1433366388	76.2732534409
CREB1	164.079537883	173.46414753
CORT	8.38856172562	9.1101770401
CLPTM1L	362.945286997	354.741909035
LYZL1	0.315123021603	0.315123021603
LYZL2	0.393903777003	0.393903777003
PDZRN4	4.78383874148	3.30888418853
EBF2	2.6846138984	0.905978687108
PHLPP1	227.268665999	243.60986463
OGDHL	205.919473007	189.93711479
PDZRN3	141.706565052	119.897132255
EMILIN3	26.3665437698	22.8946242332
EMILIN2	40.4651888981	41.6340743676
EMILIN1	56.1530254409	31.4736443609
C1orf228	20.7854874283	19.9519701153
CLLU1OS	0.157561510801	0.157561510801
DDX24	146.9634903	151.551433377
PIAS2	109.480940998	100.601969764
PIAS3	255.632841155	249.09250807
CTGF	86.1581230164	65.5501303673
PIAS1	85.7997553051	98.1225368679
PIAS4	86.3340219632	75.8916629925
TMEM98	111.880092353	91.2714439705
AL512324.1	0.0	0.0
TWSG1	50.3426809311	50.1717486382
HIVEP2	62.8616664112	73.6283344403
HIVEP3	44.8219485953	50.0371937081
FAM115C	9.0327231586	6.79579450935
FAM115A	156.670368724	145.657411203
JAGN1	42.9216945693	42.7351841927
RASL12	49.2953821272	45.356140241
ZNF317	60.3751168251	61.0945935249
RBMY1F	0.827197931707	0.827197931707
ZNF319	19.8967823982	17.8722484112
AP000679.2	0.118171133101	0.118171133101
ZNF547	19.0363538787	19.5689719245
STK35	138.576054677	130.906923875
NRIP2	6.32613168657	4.143424429
OVOL1	55.0954198018	42.5490287915
P2RX1	11.6962985918	4.95284990966
P2RX3	19.7777284905	7.72804126143
NRIP3	55.0204089433	51.0050786287
P2RX5	46.7627973557	40.0672614574
P2RX4	4.66226816177	4.30937719345
P2RX7	4.70165853947	5.95013456792
P2RX6	5.25105666369	3.29836158454
FAM27E2	6.34176206589	6.83632659912
TCEB3CL	3.63947534561	4.02590847015
HADHB	228.47773543	242.258334972
HADHA	240.084241621	239.061230704
GSTP1	420.294362009	385.700463235
RPS19BP1	166.301726975	151.324463762
ZNF90	149.417637348	137.198782444
NPRL2	162.661877371	162.525323793
KIAA1539	147.165319197	131.509887211
PLXNB2	239.676137596	189.570129067
GPR133	2.21192936599	0.433294154704
PGRMC1	61.3701658249	61.8780899048
KBTBD6	42.1594901085	44.6419272423
OTOGL	6.79334960878	3.06201931834
KIAA1530	175.269977435	175.09984199
ATAD5	106.128930248	130.956290402
DCUN1D3	30.6734395027	30.5195651054
C13orf1	56.7399805114	55.4310324714
KBTBD5	0.275732643902	0.275732643902
LRRC52	0.0787807554007	0.0787807554007
LRRC53	0.275732643902	0.275732643902
LRRC50	17.2704128623	21.9456634745
KBTBD4	88.5887535289	85.9945224524
LRRC56	33.6923842654	26.7666577995
RTF1	174.955508523	179.028481588
AL353597.1	5.9114684239	3.07254192233
LRRC55	14.8728160858	20.1205563545
DENND1C	45.2535246089	35.1879015118
DENND1B	26.7385093197	47.0574045852
CEACAM18	0.275732643902	0.275732643902
LRRC59	83.8792825788	79.5845848173
SLCO1C1	2.44827163219	0.669636420906
TAF1B	130.628602937	178.549469084
DIS3	313.062027954	343.851626709
PIF1	163.254213147	131.082876496
CT47A8	0.118171133101	0.118171133101
